Polish;Dutch;English;Correct;False;Date added;Residuals
rzesie?;september;September;16;49;2018-09-08;-13.032011840965502
pa?dziernik;oktober;October;13;39;2018-09-08;-11.125931806747325
wi?c;dus;so;0;9;2019-03-26;-7.898128616641049
oraz;en;and;0;7;2019-03-26;-7.143347072915176
nawet;zelfs;even;2;10;2019-03-26;-7.03030093222986
grudzie?;december;December;5;14;2018-09-08;-6.672036335270416
odprowadzi?;brengen;to bring;5;13;2018-09-12;-6.294645563407478
jednak;echter;however;4;10;2019-03-26;-5.785082475955733
korzysta?;gebruiken;to use;6;13;2018-09-09;-5.672036335270416
cierpliwy;geduldig;patient;12;22;2018-09-11;-5.332897913214463
sierpie?;augustus;August;3;7;2018-09-08;-5.2755193885039855
stycze?;januari;January;21;36;2018-09-08;-5.012885666062008
zacz??;beginnen;to begin;7;12;2018-09-12;-4.672036335270416
w ?rodku;in het midden;in the middle;5;8;2018-08-29;-4.4076917040927945
po;na;after;23;36;2018-08-31;-3.7676672097878807
je?yna;braam;blackberry;7;8;2019-03-14;-3.162473247818669
móc;kunnen;being able;6;6;2018-09-09;-3.03030093222986
sprawa;ding;thing;6;6;2019-03-26;-3.03030093222986
wtorek;dinsdag;tuesday;5;4;2018-08-30;-2.898128616641049
wyj?cie;uitgang;exit;5;4;2018-08-24;-2.898128616641049
prawy;rechts;right;5;4;2018-08-24;-2.898128616641049
wiedzie?;weten;to know;5;3;2019-03-26;-2.520737844778113
zosta?;blijven;to stay;5;3;2019-03-26;-2.520737844778113
prawda;waarheid;truth;9;9;2018-09-10;-2.294645563407478
pcha?;duwen;to push;8;7;2018-08-24;-2.162473247818669
obudzi?;opstaan;getting up;8;7;2018-08-24;-2.162473247818669
sa?ata;sla;lettuce;5;2;2019-03-14;-2.1433470729151756
p?e?;geslacht;sex;10;10;2018-08-29;-2.0494271071333507
czerwiec;juni;June;10;10;2018-09-08;-2.0494271071333507
zna?;kennen;to know;6;3;2019-03-13;-1.8981286166410491
mieszka?;wonen;to live;6;3;2018-09-11;-1.8981286166410491
pióro;veer;feather;8;6;2018-08-27;-1.7850824759557327
ciep?y;warm;warm;8;6;2018-08-24;-1.7850824759557327
przychodzi?;komen;to come;10;9;2018-09-09;-1.6720363352704162
