Polish,Dutch,English,Correct,False,Date added,Residuals
rzesień,['september'],['September'],16,49,2018-09-08,-13.032011840965502
październik,['oktober'],['October'],13,39,2018-09-08,-11.125931806747325
więc,['dus'],['so'],0,9,2019-03-26,-7.898128616641049
oraz,['en'],['and'],0,7,2019-03-26,-7.143347072915176
nawet,['zelfs'],['even'],2,10,2019-03-26,-7.03030093222986
grudzień,['december'],['December'],5,14,2018-09-08,-6.672036335270416
odprowadzić,['brengen'],['to bring'],5,13,2018-09-12,-6.294645563407478
jednak,['echter'],['however'],4,10,2019-03-26,-5.785082475955733
korzystać,['gebruiken'],['to use'],6,13,2018-09-09,-5.672036335270416
cierpliwy,['geduldig'],['patient'],12,22,2018-09-11,-5.332897913214463
sierpień,['augustus'],['August'],3,7,2018-09-08,-5.2755193885039855
styczeń,['januari'],['January'],21,36,2018-09-08,-5.012885666062008
zacząć,['beginnen'],['to begin'],7,12,2018-09-12,-4.672036335270416
w środku,['in het midden'],['in the middle'],5,8,2018-08-29,-4.4076917040927945
po,['na'],['after'],23,36,2018-08-31,-3.7676672097878807
jeżyna,['braam'],['blackberry'],7,8,2019-03-14,-3.162473247818669
móc,['kunnen'],['being able'],6,6,2018-09-09,-3.03030093222986
sprawa,['ding'],['thing'],6,6,2019-03-26,-3.03030093222986
wtorek,['dinsdag'],['tuesday'],5,4,2018-08-30,-2.898128616641049
wyjście,['uitgang'],['exit'],5,4,2018-08-24,-2.898128616641049
prawy,['rechts'],['right'],5,4,2018-08-24,-2.898128616641049
wiedzieć,['weten'],['to know'],5,3,2019-03-26,-2.520737844778113
zostać,['blijven'],['to stay'],5,3,2019-03-26,-2.520737844778113
prawda,['waarheid'],['truth'],9,9,2018-09-10,-2.294645563407478
pchać,['duwen'],['to push'],8,7,2018-08-24,-2.162473247818669
obudzić,['opstaan'],['getting up'],8,7,2018-08-24,-2.162473247818669
sałata,['sla'],['lettuce'],5,2,2019-03-14,-2.1433470729151756
płeć,['geslacht'],['sex'],10,10,2018-08-29,-2.0494271071333507
czerwiec,['juni'],['June'],10,10,2018-09-08,-2.0494271071333507
znać,['kennen'],['to know'],6,3,2019-03-13,-1.8981286166410491
mieszkać,['wonen'],['to live'],6,3,2018-09-11,-1.8981286166410491
pióro,['veer'],['feather'],8,6,2018-08-27,-1.7850824759557327
ciepły,['warm'],['warm'],8,6,2018-08-24,-1.7850824759557327
przychodzić,['komen'],['to come'],10,9,2018-09-09,-1.6720363352704162
na szczęście,['gelukkig'],['happy'],10,9,2018-09-08,-1.6720363352704162
wszystek,['alle'],['all the'],7,4,2019-03-26,-1.6529101603669218
jeśli,['als'],['if'],7,4,2018-09-10,-1.6529101603669218
czwarty,['vierde'],['fourth'],7,4,2018-08-31,-1.6529101603669218
trudny,['moeilijk'],['difficult'],12,12,2018-09-09,-1.5589901945850997
żołądek,['maag'],['stomach'],6,2,2018-09-09,-1.5207378447781128
daleko,['ver'],['far'],6,2,2018-09-09,-1.5207378447781128
setny,['honderdste'],['hundredth'],8,5,2018-08-31,-1.4076917040927945
orzech ziemny,['pinda'],['peanut'],8,5,2019-03-13,-1.4076917040927945
zegar,['klok'],['clock'],7,3,2018-09-09,-1.2755193885039855
żółty,['geel'],['yellow'],7,3,2018-09-11,-1.2755193885039855
dla palących,['roken'],['smoke'],7,3,2018-08-24,-1.2755193885039855
zdania,['zinnen'],['sentences'],9,6,2018-08-27,-1.162473247818669
mieć,['hebben'],['to have'],6,1,2019-03-26,-1.1433470729151756
rodzaj męski,['mannelijk'],['male'],6,1,2018-08-24,-1.1433470729151756
po południu,"[""'s middags""]",['in the afternoon'],8,4,2018-08-24,-1.03030093222986
panie,['dames'],['ladies'],8,4,2018-08-24,-1.03030093222986
borówka,['bosbes'],['blueberry'],8,4,2019-03-14,-1.03030093222986
kiedy,['wanneer'],['when'],10,7,2018-09-10,-0.9172547915445417
proszę pozdrowić,['doe de groeten aan'],['send regards to'],10,7,2018-08-25,-0.9172547915445417
proszę wejść,['kom binnen'],['come in'],7,2,2018-08-25,-0.8981286166410491
dynia,['pompoen'],['pumpkin'],7,2,2019-03-14,-0.8981286166410491
może,['misschien'],['maybe'],7,2,2018-08-29,-0.8981286166410491
trzysta,['driehonderd'],['three hundred'],7,2,2018-08-31,-0.8981286166410491
pomarańczowy,['oranje'],['orange'],7,2,2018-09-11,-0.8981286166410491
niedziela,['zondag'],['sunday'],7,2,2018-08-30,-0.8981286166410491
ostrzeżenie,['waarschuwing'],['warning'],9,5,2018-08-24,-0.7850824759557327
grzyb,['paddestoel'],['mushroom'],6,0,2019-03-11,-0.7659563010522392
czy mówi pan (pani) po angielsku?,['spreekt u Engels?'],['do you speak English?'],6,0,2018-08-25,-0.7659563010522392
ogórek,['komkommer'],['cucumber'],6,0,2019-03-14,-0.7659563010522392
utalentowany,['getalenteerd'],['talented'],6,0,2018-09-11,-0.7659563010522392
kukurydza,['mais'],['corn'],6,0,2019-03-14,-0.7659563010522392
czosnek,['knoflook'],['garlic'],6,0,2019-03-14,-0.7659563010522392
ja jem,['ik eet'],['I eat'],6,0,2019-03-11,-0.7659563010522392
herbata,['thee'],['tea'],6,0,2018-09-09,-0.7659563010522392
ryba,['vis'],['fish'],6,0,2018-09-09,-0.7659563010522392
śliwka,['pruim'],['plum'],6,0,2019-03-14,-0.7659563010522392
pogoda,['weer'],['weather'],6,0,2018-08-29,-0.7659563010522392
szczególnie,['bijzonder'],['special'],14,13,2018-09-12,-0.691162510173907
znaczyć,['betekenen'],['to mean'],11,8,2018-09-12,-0.6720363352704162
miły,['aardig'],['kind'],11,8,2018-08-27,-0.6720363352704162
nauczycielka,['leraar'],['teacher'],8,3,2018-09-09,-0.6529101603669218
trzeci,['derde'],['third'],8,3,2018-08-31,-0.6529101603669218
sześćdziesiąt,['zestig'],['sixty'],8,3,2018-08-31,-0.6529101603669218
dziś po południu,['vanmiddag'],['this afternoon'],8,3,2018-08-24,-0.6529101603669218
środa,['woensdag'],['wednesday'],8,3,2018-08-30,-0.6529101603669218
dziewiętnaście,['negentien'],['nineteen'],8,3,2018-08-30,-0.6529101603669218
orzech laskowy,['hazelnoot'],['hazelnut'],8,3,2019-03-13,-0.6529101603669218
imię,['voornaam'],['first name'],8,3,2018-08-24,-0.6529101603669218
trzydziesty,['dertigste'],['thirtyth'],8,3,2018-08-31,-0.6529101603669218
zbieram,['ik pluk'],['I pick'],8,3,2019-03-14,-0.6529101603669218
czy to jest Adam?,['is dat Adam?'],['is that Adam?'],8,3,2018-08-24,-0.6529101603669218
nigdy,['nooit'],['never'],8,3,2018-09-10,-0.6529101603669218
proszę bardzo,['alstublieft'],['please'],8,3,2018-08-24,-0.6529101603669218
zdrowy,['gezond'],['healthy'],8,3,2018-09-11,-0.6529101603669218
łatwy,['makkelijk'],['easy'],10,6,2018-09-09,-0.5398640196816054
czasownika,['werkwoord'],['verb'],10,6,2018-08-24,-0.5398640196816054
nalewam,['ik giet'],['I pour'],10,6,2019-03-13,-0.5398640196816054
wyprzedaż,['uitverkoop'],['sale'],10,6,2018-08-24,-0.5398640196816054
racjonalny,['rationeel'],['rational'],7,1,2018-09-11,-0.5207378447781128
bluzka,['blouse'],['blouse'],7,1,2018-09-12,-0.5207378447781128
rodzaj żeński,['vrouwelijk'],['female'],7,1,2018-08-24,-0.5207378447781128
czy,['of'],['whether'],7,1,2018-08-22,-0.5207378447781128
pada,['het regent'],['it is raining'],7,1,2018-08-29,-0.5207378447781128
ubikacje,"[""wc's"", ""toiletten""]",['toilets'],7,1,2018-08-24,-0.5207378447781128
chcieć,['willen'],['to want'],7,1,2018-09-10,-0.5207378447781128
łódź,['boot'],['boat'],7,1,2018-08-24,-0.5207378447781128
bilety,['kaartjes'],['tickets'],7,1,2018-08-24,-0.5207378447781128
osiem,['acht'],['eight'],7,1,2018-08-30,-0.5207378447781128
dwanaście,['twaalf'],['twelve'],7,1,2018-08-30,-0.5207378447781128
dwadzieścia jeden,['eenentwintig'],['twenty one'],7,1,2018-08-30,-0.5207378447781128
biuro,['bureau'],['bureau'],7,1,2018-08-24,-0.5207378447781128
dziesięć tysięcy,['tienduizend'],['ten thousand'],7,1,2018-08-31,-0.5207378447781128
jedenasty,['elfde'],['eleventh'],7,1,2018-08-31,-0.5207378447781128
dziesiąty,['tiende'],['tenth'],7,1,2018-08-31,-0.5207378447781128
woda niezdatna do picia,['water niet geschikt te drinken'],['water not suitable to drink'],7,1,2018-08-24,-0.5207378447781128
było bardzo przyjemnie,['het was erg leuk'],['it was very nice'],7,1,2018-08-25,-0.5207378447781128
piętnasty,['vijftiende'],['fifteenth'],7,1,2018-08-31,-0.5207378447781128
tysięczny,['duizendste'],['thousandth'],7,1,2018-08-31,-0.5207378447781128
kucharz,['kok'],['cook'],7,1,2018-09-09,-0.5207378447781128
uśmiech,['lach'],['laugh'],7,1,2018-08-27,-0.5207378447781128
marzec,['maart'],['March'],7,1,2018-09-08,-0.5207378447781128
granica,['grens'],['border'],7,1,2018-09-11,-0.5207378447781128
brzoskwinia,['perzik'],['peach'],9,4,2019-03-14,-0.40769170409279454
czterdzieści,['veertig'],['fourty'],9,4,2018-08-31,-0.40769170409279454
dziś w nocy,['vannacht'],['this night'],9,4,2018-08-24,-0.40769170409279454
miesiąc,['maand'],['month'],9,4,2018-09-06,-0.40769170409279454
puszka,['blik'],['can'],11,7,2018-09-12,-0.29464556340747805
widokówka,['kaart'],['card'],11,7,2018-09-12,-0.29464556340747805
jak to się nazywa po polsku?,['hoe heet dit in het Pools?'],['what is this called in Polish?'],8,2,2018-08-25,-0.2755193885039855
dlaczego,['waarom'],['why'],8,2,2018-09-10,-0.2755193885039855
samolot,['vliegtuig'],['plane'],8,2,2018-09-11,-0.2755193885039855
lekarz,['dokter'],['doctor'],8,2,2018-09-09,-0.2755193885039855
naprzeciwko,['tegenover'],['opposite'],8,2,2018-08-29,-0.2755193885039855
rozumiem to,['Ik begrijp het'],['I understand'],8,2,2018-08-25,-0.2755193885039855
a pan (pani)?,['en met u?'],['and with you?'],8,2,2018-08-25,-0.2755193885039855
samolub,['egoïst'],['egoist'],8,2,2018-11-07,-0.2755193885039855
poniedziałek,['maandag'],['monday'],8,2,2018-08-30,-0.2755193885039855
piesi,['voetgangers'],['pedestrians'],8,2,2018-08-24,-0.2755193885039855
granice,['grenzen'],['borders'],8,2,2018-09-11,-0.2755193885039855
morela,['abrikoos'],['apricot'],8,2,2019-03-14,-0.2755193885039855
o co chodzi?,['wat is er?'],['what is going on?'],8,2,2018-08-25,-0.2755193885039855
ciało,['lichaam'],['body'],13,10,2018-09-09,-0.18159942272216156
nazwisko,['achternaam'],['surname'],13,10,2018-08-29,-0.18159942272216156
oczywiście,['natuurlijk'],['of course'],13,10,2018-09-06,-0.18159942272216156
jasny,['licht'],['light'],10,5,2018-09-11,-0.162473247818669
wczoraj,['gisteren'],['yesterday'],10,5,2018-09-06,-0.162473247818669
smutny,['treurig'],['sad'],10,5,2018-08-27,-0.162473247818669
sam,['alleen'],['alone'],10,5,2018-09-12,-0.162473247818669
mleko,['melk'],['milk'],7,0,2019-03-13,-0.14334707291517557
rzodkiewka,['radijs'],['radish'],7,0,2019-03-14,-0.14334707291517557
spotykam,['ik ontmoet'],['I meet'],7,0,2019-03-13,-0.14334707291517557
fioletowy,['violet'],['violet'],7,0,2018-09-11,-0.14334707291517557
otwarte,['open'],['open'],7,0,2018-08-24,-0.14334707291517557
kolor,['kleur'],['color'],7,0,2018-09-11,-0.14334707291517557
bardzo,['zeer'],['a lot'],7,0,2018-09-10,-0.14334707291517557
sześć,['zes'],['six'],7,0,2018-08-30,-0.14334707291517557
kola,['cola'],['coke'],7,0,2019-03-13,-0.14334707291517557
jaki dziś dzień?,['welke dag is het vandaag?'],['what day is it today?'],7,0,2018-08-30,-0.14334707291517557
hamburger,['hamburger'],['hamburger'],7,0,2019-03-13,-0.14334707291517557
pomidor,['tomaat'],['tomata'],7,0,2019-03-14,-0.14334707291517557
ale nonsens,['wat een onzin'],['what a nonsense'],7,0,2018-08-30,-0.14334707291517557
piję,['ik drink'],['I drink'],7,0,2019-03-13,-0.14334707291517557
łyżka,['lepel'],['spoon'],7,0,2018-08-24,-0.14334707291517557
napój gazowany,['frisdrank'],['soda'],7,0,2019-03-13,-0.14334707291517557
ty,['jij'],['you'],7,0,2018-09-10,-0.14334707291517557
bułka,['broodje'],['sandwich'],7,0,2018-08-30,-0.14334707291517557
cebula,['ui'],['onion'],7,0,2019-03-14,-0.14334707291517557
